tsa,stratum_code,si_level,selected_path,fit_quality_gate_failed,left_toe_censor_selected,merchantable_floor_selected,tail_blend_selected
29,ESSF_BL,H,tail_blend,True,False,False,True
29,ESSF_BL,L,tail_blend,True,False,False,True
29,ESSF_BL,M,primary_nlls,True,False,False,False
29,ESSF_PL,H,merchantable_floor,True,False,True,False
29,ESSF_PL,L,primary_nlls,True,False,False,False
29,ESSF_PL,M,primary_nlls,True,False,False,False
29,ESSF_PLI,H,tail_blend,True,False,False,True
29,ESSF_PLI,L,tail_blend,True,False,False,True
29,ESSF_PLI,M,tail_blend,True,False,False,True
29,ESSF_SE,H,merchantable_floor,True,False,True,True
29,ESSF_SE,L,merchantable_floor,True,False,True,False
29,ESSF_SE,M,primary_nlls,True,False,False,False
29,ICH_CW,H,merchantable_floor,False,False,True,True
29,ICH_CW,L,merchantable_floor,False,False,True,True
29,ICH_CW,M,primary_nlls,True,False,False,False
29,ICH_FD,H,merchantable_floor,False,False,True,False
29,ICH_FD,L,merchantable_floor,False,False,True,False
29,ICH_FD,M,merchantable_floor,False,False,True,True
29,ICH_SX,H,merchantable_floor,True,False,True,True
29,ICH_SX,L,tail_blend,True,False,False,True
29,ICH_SX,M,merchantable_floor,True,False,True,False
29,IDF_FD,H,merchantable_floor,False,False,True,False
29,IDF_FD,L,merchantable_floor,False,False,True,False
29,IDF_FD,M,primary_nlls,True,False,False,False
29,IDF_FDI,H,merchantable_floor,False,False,True,True
29,IDF_FDI,L,primary_nlls,True,False,False,False
29,IDF_FDI,M,tail_blend,True,False,False,True
29,IDF_PL,H,merchantable_floor,False,False,True,True
29,IDF_PL,L,primary_nlls,True,False,False,False
29,IDF_PL,M,primary_nlls,True,False,False,False
29,IDF_PLI,H,merchantable_floor,False,False,True,True
29,IDF_PLI,L,censored_refit,False,True,False,False
29,IDF_PLI,M,tail_blend,True,False,False,True
29,MS_PL,H,tail_blend,True,False,False,True
29,MS_PL,L,tail_blend,True,False,False,True
29,MS_PL,M,primary_nlls,False,False,False,False
29,MS_PLI,H,primary_nlls,True,False,False,False
29,MS_PLI,L,tail_blend,True,False,False,True
29,MS_PLI,M,tail_blend,True,False,False,True
29,SBPS_PL,H,merchantable_floor,False,False,True,True
29,SBPS_PL,L,tail_blend,True,False,False,True
29,SBPS_PL,M,tail_blend,True,False,False,True
29,SBPS_PLI,H,merchantable_floor,False,False,True,True
29,SBPS_PLI,L,tail_blend,True,False,False,True
29,SBPS_PLI,M,tail_blend,True,False,False,True
29,SBPS_SX,H,tail_blend,True,False,False,True
29,SBPS_SX,L,primary_nlls,False,False,False,False
29,SBPS_SX,M,tail_blend,True,False,False,True
29,SBS_FDI,H,merchantable_floor,False,False,True,True
29,SBS_FDI,L,merchantable_floor,False,False,True,True
29,SBS_FDI,M,merchantable_floor,False,False,True,True
29,SBS_SX,H,merchantable_floor,False,False,True,False
29,SBS_SX,L,tail_blend,True,False,False,True
29,SBS_SX,M,merchantable_floor,False,False,True,True
