TRACK,OFFSET,NEXTAGE,CYCLE,AU,IFM
1,0,0,0,2902005,managed
2,0,0,0,2903002,managed
3,0,0,0,2901005,managed
4,0,0,0,2901008,managed
5,0,0,0,2903000,managed
6,0,0,0,2901009,managed
7,0,0,0,2901000,managed
8,0,0,0,2902000,managed
9,0,0,0,2901003,managed
10,0,0,0,2902002,managed
11,0,0,0,2902008,managed
12,0,0,0,2903005,managed
13,0,0,0,2903001,managed
14,0,0,0,2901002,managed
15,0,0,0,2902003,managed
16,0,0,0,2903008,managed
17,0,0,0,2903006,managed
18,0,0,0,2901001,managed
19,0,0,0,2902009,managed
20,0,0,0,2902004,managed
21,0,0,0,2903003,managed
22,0,0,0,2902007,managed
23,0,0,0,2902006,managed
24,0,0,0,2902001,managed
25,0,0,0,2903007,managed
26,0,0,0,2903009,managed
27,0,0,0,2901004,managed
28,0,0,0,2903004,managed
29,0,0,0,2901006,managed
30,0,0,0,2901007,managed
